content,tox_bin,label,base_pred,base_prob,ft_pred,ft_prob,char_len,algospeak
"Will AI get to the point soon where if I text my wife a filthy meme while she is driving, the AI will describe the photo or cartoon and read the caption to her?",7,1,0,0.078,1,0.572,160,—
"Yup, total scam on America. Why aren't any of the democrat's massive crimes being discussed in their communist press?",8,1,0,0.103,1,0.599,117,—
People murdering other people in broad daylight over a pride flag isn't a fluke or an edge case. It is the goal for them.,8,1,0,0.005,1,0.549,121,—
would you eat her evil porridge,8,1,0,0.117,1,0.807,31,—
"I'm hoping that by some miracle they'll look down the road into the future and realize if he wins, they're all his bitch for real AND for a long, long time.
And that this insight will inspire them to not set that precedent by being his bitch NOW.",7,1,0,0.447,1,0.931,246,—
It’s kind of fun that white Gen Xers are getting old enough to complain about how kids have it too easy these days; they have no reference for actual difficulty so they have to criticize people drinking water and going to the bathroom.,8,1,0,0.023,1,0.501,235,—
"trump base isn’t poor white people, not that it’d matter if it were, its aggrieved dentists, car dealers, and millionaires who think owning a franchise entitles them to sexually assault their employees and they’d like their wives barred from seeking a divorce",6,1,0,0.314,1,0.867,259,—
they found a way to blame planes falling apart in the sky on minorities,6,1,0,0.002,1,0.564,71,—
"way too many articles about surveillance technology treat computer programmers as about a half-step removed from literal wizards and the questions they ask are like ""peter smith can predict with pinpoint accuracy whether you will shoplift—but SHOULD HE?"" instead of ""does this shit even work""",7,1,0,0.188,1,0.642,292,—
"America: DETERRENCE RESTORED

Yemen: I'll fukken do it again too",7,1,0,0.003,1,0.78,64,—
"Thank you for the common sense. Anyway, who walks their dog on pavement? Get out of the city if you're going to have a dog.",8,1,0,0.007,1,0.509,123,—
"Are you trying to project the image of being environmentally conscious, but also you’re an insufferable douchebag? 

Drive Rivian.",7,1,0,0.012,1,0.734,130,—
You don't have to read it WHINER. What is your welfare going away?? HA HA HA,7,1,0,0.017,1,0.563,76,—
Chinese population control.,7,1,0,0.003,1,0.632,27,—
"read my reply below to greatheart, its for you too. Take my words seriously, or not. It could lead you to a moment where your in the grips of one. And when you realize the truth, the reality of it, you may just shut down mentally, or lash out and that anger fit is not going to go well for anyone. s atanists are real, this is how they feed. One person they hijack is an exponential reward for them. A gift that keeps on giving back to them, and porn is filled with it. Read my reply for your own good . Here , I just copied it for you :  I'll reply to you both , because to lust after a man is not good especially if you think its a chick. Jessica Alba, how about that one? Now we are comparing properly. They shave the adams apple, are given female hormones from birth, get implants, and are literally brought up from boyhood with a nanny that raises them like a girl. They have the surgery to turn the pee pee inside out, and there you go. Its all over porn fyi. This is what the s atanists feed on , this energy. When they fool you or get over on you, they feed on it big time.  This is a very simple skeletal analysis. Look at the location of the belly button and waist area. Look at the width of the shoulder width, the hands and feet are larger, the eye sockets have a more pronounced brow, the hairline , the jaw bone. Its all a collective slam dunk. You want to have this skill, because do you want to learn the chick your dating does not bleed and her vjj is a little 'rough' ? No you don't. Your welcome, this is one of lifes most important lessons for a straight man that is dating. Because they are everywhere, your town, rubbing shoulders with you in everytown USA.",8,1,0,0.055,1,0.616,1679,—
"the IRS actually uses the bulk of its resources going after poor people because rich people can afford to fight back

we can make this point without pretending they're Good Guys imo",7,1,0,0.001,1,0.518,181,—
"She looks like she has more fat than a normal pageant girl, but I'd be surprised if she's actually overweight.",8,1,0,0.166,1,0.503,110,—
"They haven't been evil geniuses, they either corrupted, outright bought people or blackmailed them into submission. The ""opposition"" who was supposed to stop them was mostly corrupted.  You don't get hired into a high position unless you do something for someone and that makes you a willing accomplice, wallah, blackmail & obedience. They even controlled most of the republicans.",6,1,0,0.052,1,0.704,380,—
"i haven't streamed in 3 years but i still pay for picarto premium, because fuck twitch.",5,1,0,0.25,1,0.762,87,—
The guy he’s introducing is a larger security threat by miles,8,1,0,0.003,1,0.619,61,—
"Especially considering most trannies are better than average street fighters. I've seen many a frat boy have a real bad day in Key West. If you find yourself going against one DO NOT UNDERESTIMATE IT. They are indeed MEN and many have been beaten and sexually abused by fathers, uncles, older brothers. Many have slept with confused or lonely guys only immediately after to be attacked by them as the realization of how low they have fallen hits them.  That kid did great and has some training. But most trannies have much more street fighting experience than your average American white dude.",7,1,0,0.109,1,0.634,593,—
I try not to laugh at anyone's death but when the time comes and this fucker dies I won't hold back because he chose to go in a way worthy of a Darwin award despite having more resources than anyone in his situation to prevent it.,8,1,0,0.116,1,0.638,230,—
"I was pretty shocked by the first one, where the ham referred to her own mother as a bitch for being concerned about her weight gain.  That was astonishing enough for me to decide there wasn't anything worth reading in those comments.",6,1,0,0.327,1,0.543,234,—
