content,tox_bin,label,base_pred,base_prob,ft_pred,ft_prob,char_len,algospeak
"""Pretty sure she's casting a spell. No, I don't think it's a friendly one.""",6,1,0,0.002,0,0.302,75,—
"The dissents are truly seething, as expected. Justice Rebecca Grassl Bradley says the justices in the majority are “handmaidens of the Democratic Party” who “deliver spoils” to Democrats, and compares the decision to the French Revolution.",7,1,0,0.001,0,0.407,239,—
and hopefully she can't get up!,6,1,0,0.002,0,0.355,31,—
"Nice end to a year of incredible decline for Elon Musk. He trashed Twitter, blew up his SpaceX rocket, and Tesla is struggling against rising competition.

We do not need him to build a better world. In truth, he stands in the way of achieving one.",5,1,0,0.007,0,0.249,248,—
"The one thing they can't escape right now, is the growing fear and panic they are feeling.  Glad you pointed that out. It makes up for the time they would spend in Gitmo preparing for their untimely deaths. This way, they don't get that luxury of succumbing to the inevitable in any easy way. Instead they suffer every waking moment, and sleep with the nightmares of what awaits them. All of the evil deeds they have engaged in throughout their lives will loom large and they can't escape the thoughts.  The screams of tortured children are not for nothing.",6,1,0,0.002,0,0.433,557,—
Donald Trump told Vladimir Putin to do whatever the hell he wants. you'll never guess what happened next,6,1,0,0.019,0,0.339,104,—
"dudes have all these fantasies about femme fatales setting up honey traps and IRL it's just some lady in her apartment in her sweats texting ""oh wow, interesting"" until they admit to federal crimes",5,1,0,0.051,0,0.446,197,—
"She fails on so many levels. As a mother, as a person, as a christian and at the basic task of feeding yourself. I hope she croaks on her next french fry and her daughter is given to someone who actually cares.",5,1,0,0.004,0,0.339,210,—
Ok watch it. Early 40's mother of 2 here and I have nothing in common with this butter huffer.,7,1,0,0.003,0,0.469,94,—
"Re: ""Gazans elected Hamas, they're legit targets""

1) Hamas' win was v narrow, & only bc its opponents splintered
2) Elex were in 2006; a lg majority of today's Gazans were too young to vote or HADN'T BEEN BORN
3) Even if true, KILLING PPL FOR HOW THEY VOTE IS COLLECTIVE PUNISHMENT & AGST INTL LAW.",7,1,0,0.004,0,0.295,299,—
I aim to offend. ;-),6,1,0,0.001,0,0.403,20,—
"I like humans. They have this lovely savory taste I can't get enough of. 🐱❤️
Besides, the lack of fur makes them an easier pill to swallow 

(Relax, I dont actually eat micros. I just like to tease 🐱)

some quick practice before today's comm work. Testing for speed again ahhhhh",5,1,0,0.002,0,0.129,278,—
"Every anti-LGBT “concerned parents” protest in SoCal is the same group of alt right adjacent weirdos, none of whom are local and none of whom seem to have school age children",8,1,0,0.001,0,0.483,174,—
THERE IS NO STATUTE OF LIMITATIONS ON FRAUD! ,5,1,0,0.002,0,0.054,45,—
So no First Amendment for him?,5,1,0,0.004,0,0.49,30,—
"I hope they don't see the warning. You never warn the enemy, you let them find out when it's too late to back out. It's called an ambush.",5,1,0,0.023,0,0.462,137,—
"Seriously though, it's a serious crime. But you gotta wonder what kind of person participates in a LARP, while at the same time calling said larp gey.. so in a traditional LARP two side typically fight (hence the live action) but you're joining in the fight at the opposition. So you're an actor in the very LARP you call gey. Still worse your the bad guy. Which is the ultimate tool, because they never beat the king.....",6,1,0,0.001,0,0.463,422,—
It clearly reads CAT. Anything after that is immaterial and doesn't count.,5,1,0,0.004,0,0.024,74,—
"I'm back from my hiatus from The Catch, with some harsh words for the right-wing genital hawks and the news media that handles them with kid gloves. #cdnnews #onnews",6,1,0,0.006,0,0.476,165,—
"Covid19 Inquiry

WhatsApp message to Sir Mark Sedwill (ex Cabinet Secretary) from Simon Case (current cabinet Secretary)

 “It is like taming wild animals. Nothing in my past experience has prepared me for this madness. The PM and the people he chooses to surround himself with are basically feral.”",8,1,0,0.001,0,0.484,299,—
"Show me one ""obese vegetarian fitness junkie"". Just one. I mean a real one, not just some cow who claims to eat healthy and exercises, but someone who actually eats healthy and exercises intensely who is fat. It doesn't exist.",6,1,0,0.026,0,0.037,226,—
I’m pretty sure that buzzword barf translates to ripping off people on Fiver and trying to make money off of a lot of stolen work.,7,1,0,0.001,0,0.366,130,—
